Año,Pais,Magnitud,Informacion
2005,Papua New Guinea,6.1,info valiosa
2005,Iran,4.9,info valiosa
2005,Indonesia ,8.6,info valiosa
2005,Japan ,6.6,info valiosa
2005,Iran ,6.4,info valiosa
2005,Philippines,7.1,info valiosa
2005,Turkey,5.9,info valiosa
2005,Indonesia,6.2,info valiosa
2006,Taiwan ,7,info valiosa
2006,Indonesia,5.8,info valiosa
2006,Indonesia,6.3,info valiosa
2006,Venezuela,5.5,info valiosa
2006,China,5,info valiosa
2006,Tajikistan ,5.6,info valiosa
2006,China ,4.9,info valiosa
2006,Indonesia ,7.7,info valiosa
2006,Iran,5.1,info valiosa
2006,Indonesia ,6.4,info valiosa
2006,Iran ,6.1,info valiosa
2006,Iran,5.9,info valiosa
2006,Algeria,5.2,info valiosa
2006,Indonesia,6.7,info valiosa
2006,Pakistan,4.9,info valiosa
2006,Mozambique,7,info valiosa
2006,India,5.3,info valiosa
2007,New Zealand ,6.6,info valiosa
2007,Martinique,7.4,info valiosa
2007,Indonesia,6.5,info valiosa
2007,Chile,7.7,info valiosa
2007,Philippines,5.3,info valiosa
2007,India,5.1,info valiosa
2007,Pakistan,5.2,info valiosa
2007,Indonesia,7.1,info valiosa
2007,Indonesia,7.9,info valiosa
2007,Indonesia,8.5,info valiosa
2007,Peru ,8,info valiosa
2007,Russian Federation,6.2,info valiosa
2007,Tajikistan,5.2,info valiosa
2007,Japan ,6.6,info valiosa
2007,China,6.1,info valiosa
2007,Chile ,6.2,info valiosa
2007,Solomon Islands ,8.1,info valiosa
2007,Japan ,6.7,info valiosa
2007,Indonesia ,6.4,info valiosa
2007,Indonesia,7.5,info valiosa
2008,Pakistan ,6.4,info valiosa
2008,China ,6.4,info valiosa
2008,Kyrgyzstan ,6.9,info valiosa
2008,China ,5.7,info valiosa
2008,Greece ,6.4,info valiosa
2008,Japan ,6.9,info valiosa
2008,Greece ,6.4,info valiosa
2008,Algeria,5.5,info valiosa
2008,China,6.1,info valiosa
2008,Colombia,5.9,info valiosa
2008,China ,7.9,info valiosa
2008,Indonesia,7.3,info valiosa
2008,Rwanda,5.3,info valiosa
2008,Democratic Republic of the Congo ,5.9,info valiosa
2008,Indonesia,6.2,info valiosa
2009,Indonesia ,7.6,info valiosa
2009,Samoa ,8.1,info valiosa
2009,Indonesia ,7,info valiosa
2009,Japan ,6.4,info valiosa
2009,China ,5.7,info valiosa
2009,Italy ,6.2,info valiosa
2009,Costa Rica ,6.1,info valiosa
2010,China ,6.9,info no valiosa
2010,Chile ,6.9,info no valiosa
2010,Turkey ,6.1,info no valiosa
2010,Chile ,8.8,info no valiosa
2010,Haiti ,7,info no valiosa
2011,Turkey ,7.1,info no valiosa
2011,India ,6.9,info no valiosa
2011,Japan ,7.1,info no valiosa
2011,Burma ,6.8,info no valiosa
2011,Japan ,9,info no valiosa
2011,China ,5.4,info no valiosa
2011,New Zealand ,6.3,info no valiosa
2011,shile,-10,info no valiosa
2011,shile,-10,info no valiosa
2010,Colombia,,
2005,Indonesia,,
2010,Venezuela,,
1997,Algeria ,7,
1990,Serbia,7.7,
1999,Haiti ,6.8,
,,2002-Tanzania-5.8,
,,2003-japan-8.5,
2005,arica,8,valiosa
